Sentence,Label,Predicted,Score
%7C,1,0,0.09678682093255765
"INSERT INTO regions (code, local_code, name, continent, iso_country) VALUES (""RU-DA"", ""MB"", ""(unassigned)"", ""EU"", ""SI"")",1,0,0.18242330510031077
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""US-7408"",""small_airport"", ""C 433 Heliport"",""https://en.wikipedia.org/wiki/Lucena,_Philippines#Transportation"",""EU"")",1,0,0.17328334949818924
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""SARI"", ""heliport"", ""Sabarei Airport"", 21.093889, -80.25117)",1,0,0.08977648937755885
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""2TN2"",""heliport"", ""Memorial Hospital Heliport"",""https://en.wikipedia.org/wiki/Fera_Airport"",""AN"")",1,0,0.17843325258283585
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (58957, 2326, ""K6J2"", ""ATIS"", ""MC"", 123.4)",1,0,0.19204502760234468
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""7AR6"",""small_airport"", ""Krasnoyarsk Regional Clinical Hospital Helipad"",""https://en.wikipedia.org/wiki/Sármellék_International_Airport"",""AS"")",1,0,0.1364294945433836
"INSERT INTO runways (airport_ref, airport_ident, length_ft, surface, lighted, closed) VALUES (5522, ""56TE"", 2000.0(,,'.)))""., ""GRE"", 0, 0)",1,0,0.1832768192144849
"INSERT INTO navaids (id, ident, name, type, frequency_khz, iso_country) VALUES ((3714=1539)*1539, ""BRL"", ""New Hope"", ""NDB"", 110800, ""US"")",1,0,0.2629315950344512
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""Εμμανουήλ Παππάς, Emmanuel Pappas"") OR name LIKE ""Εμμανουήλ Παππάς, Emmanuel Pappas""",1,0,0.004943461337081639
"UPDATE airport SET home_link = ""https://www.aena.es/en/tenerife-sur.html"" WHERE name = ""Louis Bennett Field""",1,0,0.04411651022554713
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (573285, 3861, ""KCSG"", ""RDO"", ""CTAF"", 135.45)",1,0,0.16334212574119075
"INSERT INTO regions (code, name, continent, iso_country, wikipedia_link, keywords) VALUES (""HU-SS"", ""Toliara"", ""AF"", ""HN"", ""https://en.wikipedia.org/wiki/Kouilou_Department"", ""Airports in Oregon"")",1,0,0.19869991659414787
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""RO-0053"",""heliport"", ""Isaacson Airport"",""https://en.wikipedia.org/wiki/Punta_Galera_Airport"",""AF"")",1,0,0.08334919479687644
"INSERT INTO runways (airport_ref, airport_ident, length_ft, surface, lighted, closed) VALUES (4284, ""KN58"", 4605.0, ""CON"", 0, 0)",1,0,0.10418089770804971
"SELECT a.id, a.ident, a.name, a.latitude_deg, a.longitude_deg,(6371 * ACOS(COS(RADIANS(a.latitude_deg)) * COS(RADIANS(b.latitude_deg)) * COS(RADIANS(b.longitude_deg) - RADIANS(a.longitude_deg)) + SIN(RADIANS(a.latitude_deg)) * SIN(RADIANS(b.latitude_deg)))) AS distance FROM airport a JOIN airport b ON b.name = ""Kremmling Memorial Hospital Heliport""   AND    4862=(  SELECT  (  CASE      WHEN     (45 43)    THEN    4862     ELSE   (  SELECT  7158    UNION    SELECT  4332)     END ))-- -"" WHERE a.id != b.id  ORDER BY distance LIMIT 50;",1,0,0.44459164284149116
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES (""US-8817"", ""small_airport"", ""Salima Airport"", 43.9758, -90.03216, 2430.0)",1,0,0.13107108629448896
"SELECT * FROM airport WHERE gps_code = ""63CN"" OR local_code = ""2TE4""",1,0,0.01236813569696205
"INSERT INTO countries (code, name, continent, keywords) VALUES (""AG"", ""Qatar"", ""EU"", ""المطارات في لبنان"")",1,0,0.12682484270884745
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (57993, 1867, ""YCPG"", ""RDO"", ""SUBANG INFO"", 124.175)",1,0,0.23822643531885335
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""IN-0259"", ""heliport"", ""Sabarei Airport"", 4.836111, 98.01667022705078)",1,0,0.11936971793917675
"SELECT * FROM airport WHERE icao_code = 'CYXS'vHhetC<'"">LhxxdY';",1,0,0.014769976524144583
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""PT-0128"",""heliport"", ""Padre Américo Hospital Helipad"",""https://fr.wikipedia.org/wiki/Aérodrome_de_Pont-à-Celles_Buzet"",""EU"")",1,0,0.22515694065858768
"SELECT name, 'airport' AS entity_type FROM airport WHERE keywords LIKE CONCAT(""%"", ""Varadero"", ""%"") UNION SELECT name, 'region' AS entity_type FROM regions WHERE keywords LIKE CONCAT(""%"", ""Airports in Denguélé District"", ""%"")  UNION SELECT name, 'country' AS entity_type FROM countries WHERE keywords LIKE CONCAT(""%"", ""Bosnian airports"", ""%"");",1,0,0.030738022987228848
"INSERT INTO runways (airport_ref, airport_ident, length_ft, surface, lighted, closed) VALUES (327832, ""2NE7"", 50.0, ""CONC"", 0, 0)",1,0,0.1365306587822805
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""Aerodrome�ULMRamonchamp"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""Aerodrome�ULMRamonchamp"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""Aerodrome�ULMRamonchamp"", ""%"");",1,0,0.014034405086964331
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES (""IT-0682"", ""heliport"", ""Staniel Cay Airport"", 48.17287, -97.850262, 397.0)",1,0,0.18353325640609072
